record_id,phase_predicted,drift_crossed_predicted,response_crossed_predicted,tail_causal_starvation_certified_predicted,weak_only_learnable_predicted,tau_star_drift_predicted,tau_star_response_predicted,phase_observed,drift_crossed_observed,response_crossed_observed,tail_causal_starvation_certified_observed,weak_only_learnable_observed,tau_star_drift_observed,tau_star_response_observed,model_kind,rho,lag_separation,regime,data_seed,model_seed,phase_correct,drift_crossing_correct,response_crossing_correct,certificate_correct,learnability_correct,predicted_drift_time,observed_drift_time,drift_time_error,predicted_response_time,observed_response_time,response_time_error,n_trajectory_points,response_gap_rmse,drift_rmse,response_gap_sign_agreement,drift_sign_agreement,both_m_w_rmse,weak_m_w_rmse
gru_rho-4_lag-2_positive_data-203_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.178954547174009,5.928036204713676,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.963714333838639,6.164465586312346,gru,4.0,2,positive,203,2015,True,True,True,True,True,2.178954547174009,2.963714333838639,-0.7847597866646301,5.928036204713676,6.164465586312346,-0.23642938159867022,101,0.025288978196158902,0.015322137537481805,0.9801980198019802,0.9207920792079208,0.020051607022736614,0.04037964661558589
gru_rho-4_lag-2_positive_data-203_model-2016,suppression_throughout,False,False,False,False,inf,inf,transfer_then_suppression,True,False,False,False,3.0712602698934774,inf,gru,4.0,2,positive,203,2016,False,False,True,True,True,,3.0712602698934774,,,,,101,0.016306135622619348,0.0075461649383916085,1.0,0.8118811881188119,0.031788748795755564,0.02192650692512008
gru_rho-4_lag-2_positive_data-203_model-2017,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.6291490884205213,1.4021232586411307,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.0750643829950395,3.839210903416871,gru,4.0,2,positive,203,2017,True,True,True,True,True,0.6291490884205213,2.0750643829950395,-1.4459152945745182,1.4021232586411307,3.839210903416871,-2.4370876447757404,101,0.026105046024261436,0.016554835805917226,0.7623762376237624,0.8613861386138614,0.0248239162137481,0.04497782240140073
gru_rho-4_lag-2_positive_data-204_model-2010,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,False,inf,inf,gru,4.0,2,positive,204,2010,True,True,True,True,True,,,,,,,101,0.011625036231839983,0.008616875245146274,1.0,1.0,0.02417565041575183,0.025061650942005024
gru_rho-4_lag-2_positive_data-204_model-2011,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.6197689669553506,4.224057772002866,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.171902684120058,6.40433783866932,gru,4.0,2,positive,204,2011,True,True,True,True,True,1.6197689669553506,3.171902684120058,-1.5521337171647076,4.224057772002866,6.40433783866932,-2.1802800666664535,101,0.014567476343140127,0.010551944865607227,0.7821782178217822,0.8514851485148515,0.02339563798053056,0.02869922166640412
gru_rho-4_lag-2_positive_data-204_model-2012,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,False,inf,inf,gru,4.0,2,positive,204,2012,True,True,True,True,True,,,,,,,101,0.011997927212231791,0.008849278282699562,1.0,1.0,0.018500585625255483,0.024976366719560255
gru_rho-4_lag-2_positive_data-204_model-2013,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.9139859876681184,5.252931899577318,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.5197707220181207,6.863408270726807,gru,4.0,2,positive,204,2013,True,True,True,True,True,1.9139859876681184,3.5197707220181207,-1.6057847343500022,5.252931899577318,6.863408270726807,-1.6104763711494892,101,0.019351118964153594,0.014280550441633325,0.8415841584158416,0.8415841584158416,0.03052278886654144,0.03866966051482029
gru_rho-4_lag-2_positive_data-204_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,1.4106178010018195,3.521993232738406,transfer_then_outcome_crossing_unlearnable,True,True,False,False,3.1699093353639674,6.10614571263036,gru,4.0,2,positive,204,2014,True,True,True,True,True,1.4106178010018195,3.1699093353639674,-1.7592915343621478,3.521993232738406,6.10614571263036,-2.5841524798919537,101,0.014301875892897107,0.010821553913947526,0.7425742574257426,0.8316831683168316,0.023474855789576067,0.027083339218008137
gru_rho-4_lag-2_positive_data-204_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.1737892259265488,5.887644201425918,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.966862729582641,6.134223596863405,gru,4.0,2,positive,204,2015,True,True,True,True,True,2.1737892259265488,2.966862729582641,-0.7930735036560921,5.887644201425918,6.134223596863405,-0.24657939543748775,101,0.026481179447069545,0.016002978936023995,0.9702970297029703,0.9207920792079208,0.020511704892800346,0.041933152961454
gru_rho-4_lag-2_positive_data-204_model-2016,suppression_throughout,False,False,False,False,inf,inf,transfer_then_suppression,True,False,False,False,3.096861598440546,inf,gru,4.0,2,positive,204,2016,False,False,True,True,True,,3.096861598440546,,,,,101,0.016358053689910886,0.007848793283109294,1.0,0.8118811881188119,0.03224069466277741,0.022764233439541103
gru_rho-4_lag-2_positive_data-204_model-2017,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.608047115024433,1.3494873436394097,transfer_then_outcome_crossing_unlearnable,True,True,False,False,2.0711393188296534,3.8040763909285773,gru,4.0,2,positive,204,2017,True,True,True,True,True,0.608047115024433,2.0711393188296534,-1.4630922038052203,1.3494873436394097,3.8040763909285773,-2.4545890472891676,101,0.02726324669240563,0.017232682370708054,0.7524752475247525,0.8613861386138614,0.025291925366650002,0.04655147019493531
