record_id,method_id,cell_id,data_seed,model_seed,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-pcgrad-rho5_lag3-d301-m3017,pcgrad,rho5_lag3,301,3017,1.7164984012090916,403783680,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3010,pcgrad,rho5_lag3,302,3010,1.6672234906539605,385318912,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3011,pcgrad,rho5_lag3,302,3011,1.6849090701966132,389103616,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3012,pcgrad,rho5_lag3,302,3012,1.6675209780717155,389939200,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3013,pcgrad,rho5_lag3,302,3013,1.675081276531305,402833408,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3014,pcgrad,rho5_lag3,302,3014,1.6621476761308525,389398528,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3015,pcgrad,rho5_lag3,302,3015,1.6736686459902457,384745472,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3016,pcgrad,rho5_lag3,302,3016,1.6410436125986478,400637952,17152,N/A
esb-pcgrad-rho5_lag3-d302-m3017,pcgrad,rho5_lag3,302,3017,1.6599909233605734,391856128,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3010,pcgrad,rho5_lag3,303,3010,1.6132618634107037,384761856,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3011,pcgrad,rho5_lag3,303,3011,1.6674872559305041,389447680,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3012,pcgrad,rho5_lag3,303,3012,1.7042938267188459,391954432,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3013,pcgrad,rho5_lag3,303,3013,1.7046662440678404,394117120,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3014,pcgrad,rho5_lag3,303,3014,1.6935961523545247,390496256,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3015,pcgrad,rho5_lag3,303,3015,1.6658445424092077,400687104,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3016,pcgrad,rho5_lag3,303,3016,1.7262290243555267,391544832,17152,N/A
esb-pcgrad-rho5_lag3-d303-m3017,pcgrad,rho5_lag3,303,3017,1.6272742096283326,384598016,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3010,pcgrad,rho5_lag3,304,3010,1.6898258504662886,400621568,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3011,pcgrad,rho5_lag3,304,3011,1.6666541548316713,384499712,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3012,pcgrad,rho5_lag3,304,3012,1.6695001381166179,383270912,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3013,pcgrad,rho5_lag3,304,3013,1.6603320154894936,387792896,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3014,pcgrad,rho5_lag3,304,3014,1.6820508510837227,403046400,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3015,pcgrad,rho5_lag3,304,3015,1.6917152316662165,395132928,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3016,pcgrad,rho5_lag3,304,3016,1.702911499567185,386695168,17152,N/A
esb-pcgrad-rho5_lag3-d304-m3017,pcgrad,rho5_lag3,304,3017,1.6516754157716298,403226624,17152,N/A
