record_id,method_id,cell_id,data_seed,model_seed,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-counterfactual_drift-rho4_lag2-d303-m3016,counterfactual_drift,rho4_lag2,303,3016,1.6355059659436446,391380992,17152,N/A
esb-counterfactual_drift-rho4_lag2-d303-m3017,counterfactual_drift,rho4_lag2,303,3017,1.5629128010394013,388235264,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3010,counterfactual_drift,rho4_lag2,304,3010,1.5969305832631311,405258240,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3011,counterfactual_drift,rho4_lag2,304,3011,1.6076756988728893,388612096,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3012,counterfactual_drift,rho4_lag2,304,3012,1.6186194480040941,405438464,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3013,counterfactual_drift,rho4_lag2,304,3013,1.7520062721198948,387678208,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3014,counterfactual_drift,rho4_lag2,304,3014,1.8048378901078339,394051584,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3015,counterfactual_drift,rho4_lag2,304,3015,1.9447830281281573,397443072,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3016,counterfactual_drift,rho4_lag2,304,3016,1.8908813659599779,398819328,17152,N/A
esb-counterfactual_drift-rho4_lag2-d304-m3017,counterfactual_drift,rho4_lag2,304,3017,1.8746965470750749,385024000,17152,N/A
esb-bloop-rho4_lag2-d301-m3010,bloop,rho4_lag2,301,3010,1.7607141597765039,397639680,17152,N/A
esb-bloop-rho4_lag2-d301-m3011,bloop,rho4_lag2,301,3011,1.479768809195237,397606912,17152,N/A
esb-bloop-rho4_lag2-d301-m3012,bloop,rho4_lag2,301,3012,1.7167776429399386,394428416,17152,N/A
esb-bloop-rho4_lag2-d301-m3013,bloop,rho4_lag2,301,3013,1.868485153877891,399130624,17152,N/A
esb-bloop-rho4_lag2-d301-m3014,bloop,rho4_lag2,301,3014,1.5673547943184334,383254528,17152,N/A
esb-bloop-rho4_lag2-d301-m3015,bloop,rho4_lag2,301,3015,1.5780407261824412,386859008,17152,N/A
esb-bloop-rho4_lag2-d301-m3016,bloop,rho4_lag2,301,3016,1.6928827131103197,386498560,17152,N/A
esb-bloop-rho4_lag2-d301-m3017,bloop,rho4_lag2,301,3017,1.3468722241209918,390889472,17152,N/A
esb-bloop-rho4_lag2-d302-m3010,bloop,rho4_lag2,302,3010,1.1689461262064202,374767616,17152,N/A
esb-bloop-rho4_lag2-d302-m3011,bloop,rho4_lag2,302,3011,1.1247587303031756,379994112,17152,N/A
esb-bloop-rho4_lag2-d302-m3012,bloop,rho4_lag2,302,3012,1.1701644005805047,382861312,17152,N/A
esb-bloop-rho4_lag2-d302-m3013,bloop,rho4_lag2,302,3013,1.2900055199949134,379715584,17152,N/A
esb-bloop-rho4_lag2-d302-m3014,bloop,rho4_lag2,302,3014,1.3062395313501929,391610368,17152,N/A
esb-bloop-rho4_lag2-d302-m3015,bloop,rho4_lag2,302,3015,1.2891886978290985,381665280,17152,N/A
esb-bloop-rho4_lag2-d302-m3016,bloop,rho4_lag2,302,3016,1.5312831112826895,379764736,17152,N/A
esb-bloop-rho4_lag2-d302-m3017,bloop,rho4_lag2,302,3017,1.3566234463109421,387104768,17152,N/A
esb-bloop-rho4_lag2-d303-m3010,bloop,rho4_lag2,303,3010,1.3529189438265379,385515520,17152,N/A
esb-bloop-rho4_lag2-d303-m3011,bloop,rho4_lag2,303,3011,1.4363580492697472,383844352,17152,N/A
esb-bloop-rho4_lag2-d303-m3012,bloop,rho4_lag2,303,3012,1.5191260216243223,373080064,17152,N/A
esb-bloop-rho4_lag2-d303-m3013,bloop,rho4_lag2,303,3013,1.5683345430471958,401244160,17152,N/A
esb-bloop-rho4_lag2-d303-m3014,bloop,rho4_lag2,303,3014,1.509838611067863,383827968,17152,N/A
esb-bloop-rho4_lag2-d303-m3015,bloop,rho4_lag2,303,3015,1.5806821733986387,384057344,17152,N/A
esb-bloop-rho4_lag2-d303-m3016,bloop,rho4_lag2,303,3016,1.5115045060177295,379437056,17152,N/A
esb-bloop-rho4_lag2-d303-m3017,bloop,rho4_lag2,303,3017,1.5246620037483753,390922240,17152,N/A
esb-bloop-rho4_lag2-d304-m3010,bloop,rho4_lag2,304,3010,1.3709465063072515,390987776,17152,N/A
esb-bloop-rho4_lag2-d304-m3011,bloop,rho4_lag2,304,3011,1.4207802047973463,411910144,17152,N/A
esb-bloop-rho4_lag2-d304-m3012,bloop,rho4_lag2,304,3012,1.3741629449691319,381386752,17152,N/A
esb-bloop-rho4_lag2-d304-m3013,bloop,rho4_lag2,304,3013,1.3083716640009626,370311168,17152,N/A
esb-bloop-rho4_lag2-d304-m3014,bloop,rho4_lag2,304,3014,1.3112653140772768,385974272,17152,N/A
esb-bloop-rho4_lag2-d304-m3015,bloop,rho4_lag2,304,3015,1.3548046738759423,384516096,17152,N/A
esb-bloop-rho4_lag2-d304-m3016,bloop,rho4_lag2,304,3016,1.8765377983315554,392839168,17152,N/A
esb-bloop-rho4_lag2-d304-m3017,bloop,rho4_lag2,304,3017,1.586163809143764,399687680,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3010,pcgrad,rho4_lag2,301,3010,1.4293233272133556,365674496,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3011,pcgrad,rho4_lag2,301,3011,1.3512459298339425,406667264,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3012,pcgrad,rho4_lag2,301,3012,1.4823864475650146,393609216,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3013,pcgrad,rho4_lag2,301,3013,1.5211033140551165,382763008,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3014,pcgrad,rho4_lag2,301,3014,1.447524255547546,385351680,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3015,pcgrad,rho4_lag2,301,3015,1.5118090766730512,388972544,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3016,pcgrad,rho4_lag2,301,3016,1.6643401405700886,410501120,17152,N/A
esb-pcgrad-rho4_lag2-d301-m3017,pcgrad,rho4_lag2,301,3017,1.4051312594769136,414580736,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3010,pcgrad,rho4_lag2,302,3010,1.2907565944797474,411090944,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3011,pcgrad,rho4_lag2,302,3011,1.1859801849683362,400474112,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3012,pcgrad,rho4_lag2,302,3012,1.1654535235422951,389152768,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3013,pcgrad,rho4_lag2,302,3013,1.2862603877616718,383778816,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3014,pcgrad,rho4_lag2,302,3014,1.3109482146522839,375291904,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3015,pcgrad,rho4_lag2,302,3015,1.2697940718959289,387727360,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3016,pcgrad,rho4_lag2,302,3016,1.4423821155401002,380583936,17152,N/A
esb-pcgrad-rho4_lag2-d302-m3017,pcgrad,rho4_lag2,302,3017,1.3070390109824406,390479872,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3010,pcgrad,rho4_lag2,303,3010,1.3339438763425007,412450816,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3011,pcgrad,rho4_lag2,303,3011,1.3895010269217469,379879424,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3012,pcgrad,rho4_lag2,303,3012,1.4773628219340789,390610944,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3013,pcgrad,rho4_lag2,303,3013,1.5359461315131235,411795456,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3014,pcgrad,rho4_lag2,303,3014,1.4810842114559264,385974272,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3015,pcgrad,rho4_lag2,303,3015,1.5884058499897553,416186368,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3016,pcgrad,rho4_lag2,303,3016,1.494622805334989,378667008,17152,N/A
esb-pcgrad-rho4_lag2-d303-m3017,pcgrad,rho4_lag2,303,3017,1.4344557015072519,372080640,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3010,pcgrad,rho4_lag2,304,3010,1.3184314014539349,393445376,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3011,pcgrad,rho4_lag2,304,3011,1.2771052403087091,384876544,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3012,pcgrad,rho4_lag2,304,3012,1.2962578137442795,384368640,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3013,pcgrad,rho4_lag2,304,3013,1.2714957726007574,402898944,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3014,pcgrad,rho4_lag2,304,3014,1.31730723058245,373063680,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3015,pcgrad,rho4_lag2,304,3015,1.3579940040628875,388743168,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3016,pcgrad,rho4_lag2,304,3016,1.3692235826278107,382173184,17152,N/A
esb-pcgrad-rho4_lag2-d304-m3017,pcgrad,rho4_lag2,304,3017,1.2802270039337471,382730240,17152,N/A
esb-erm-rho5_lag3-d301-m3010,erm,rho5_lag3,301,3010,1,365969408,17152,N/A
esb-erm-rho5_lag3-d301-m3011,erm,rho5_lag3,301,3011,1,371539968,17152,N/A
esb-erm-rho5_lag3-d301-m3012,erm,rho5_lag3,301,3012,1,404537344,17152,N/A
esb-erm-rho5_lag3-d301-m3013,erm,rho5_lag3,301,3013,1,380125184,17152,N/A
esb-erm-rho5_lag3-d301-m3014,erm,rho5_lag3,301,3014,1,377389056,17152,N/A
esb-erm-rho5_lag3-d301-m3015,erm,rho5_lag3,301,3015,1,406994944,17152,N/A
esb-erm-rho5_lag3-d301-m3016,erm,rho5_lag3,301,3016,1,371081216,17152,N/A
esb-erm-rho5_lag3-d301-m3017,erm,rho5_lag3,301,3017,1,370769920,17152,N/A
esb-erm-rho5_lag3-d302-m3010,erm,rho5_lag3,302,3010,1,370900992,17152,N/A
esb-erm-rho5_lag3-d302-m3011,erm,rho5_lag3,302,3011,1,392101888,17152,N/A
esb-erm-rho5_lag3-d302-m3012,erm,rho5_lag3,302,3012,1,392085504,17152,N/A
esb-erm-rho5_lag3-d302-m3013,erm,rho5_lag3,302,3013,1,370900992,17152,N/A
esb-erm-rho5_lag3-d302-m3014,erm,rho5_lag3,302,3014,1,395427840,17152,N/A
esb-erm-rho5_lag3-d302-m3015,erm,rho5_lag3,302,3015,1,394067968,17152,N/A
esb-erm-rho5_lag3-d302-m3016,erm,rho5_lag3,302,3016,1,402374656,17152,N/A
esb-erm-rho5_lag3-d302-m3017,erm,rho5_lag3,302,3017,1,374112256,17152,N/A
esb-erm-rho5_lag3-d303-m3010,erm,rho5_lag3,303,3010,1,398983168,17152,N/A
esb-erm-rho5_lag3-d303-m3011,erm,rho5_lag3,303,3011,1,374833152,17152,N/A
esb-erm-rho5_lag3-d303-m3012,erm,rho5_lag3,303,3012,1,364560384,17152,N/A
esb-erm-rho5_lag3-d303-m3013,erm,rho5_lag3,303,3013,1,372408320,17152,N/A
esb-erm-rho5_lag3-d303-m3014,erm,rho5_lag3,303,3014,1,376700928,17152,N/A
esb-erm-rho5_lag3-d303-m3015,erm,rho5_lag3,303,3015,1,392921088,17152,N/A
esb-erm-rho5_lag3-d303-m3016,erm,rho5_lag3,303,3016,1,400359424,17152,N/A
esb-erm-rho5_lag3-d303-m3017,erm,rho5_lag3,303,3017,1,404471808,17152,N/A
esb-erm-rho5_lag3-d304-m3010,erm,rho5_lag3,304,3010,1,356761600,17152,N/A
esb-erm-rho5_lag3-d304-m3011,erm,rho5_lag3,304,3011,1,373260288,17152,N/A
esb-erm-rho5_lag3-d304-m3012,erm,rho5_lag3,304,3012,1,385187840,17152,N/A
esb-erm-rho5_lag3-d304-m3013,erm,rho5_lag3,304,3013,1,388694016,17152,N/A
esb-erm-rho5_lag3-d304-m3014,erm,rho5_lag3,304,3014,1,373587968,17152,N/A
esb-erm-rho5_lag3-d304-m3015,erm,rho5_lag3,304,3015,1,393084928,17152,N/A
esb-erm-rho5_lag3-d304-m3016,erm,rho5_lag3,304,3016,1,394952704,17152,N/A
esb-erm-rho5_lag3-d304-m3017,erm,rho5_lag3,304,3017,1,394149888,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3010,counterfactual_drift,rho5_lag3,301,3010,1.5048862488997945,379600896,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3011,counterfactual_drift,rho5_lag3,301,3011,1.5048616684105582,373948416,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3012,counterfactual_drift,rho5_lag3,301,3012,1.5064247221290321,383909888,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3013,counterfactual_drift,rho5_lag3,301,3013,1.5088611447554354,375767040,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3014,counterfactual_drift,rho5_lag3,301,3014,1.5311065328880868,387858432,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3015,counterfactual_drift,rho5_lag3,301,3015,1.6286814372756895,375914496,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3016,counterfactual_drift,rho5_lag3,301,3016,1.5186155574103801,386187264,17152,N/A
esb-counterfactual_drift-rho5_lag3-d301-m3017,counterfactual_drift,rho5_lag3,301,3017,1.5348775035705264,382812160,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3010,counterfactual_drift,rho5_lag3,302,3010,1.5324325366777667,387334144,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3011,counterfactual_drift,rho5_lag3,302,3011,1.5201758902659537,377470976,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3012,counterfactual_drift,rho5_lag3,302,3012,1.5164672918973634,386187264,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3013,counterfactual_drift,rho5_lag3,302,3013,1.5302231807624087,383303680,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3014,counterfactual_drift,rho5_lag3,302,3014,1.5154616655729001,384483328,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3015,counterfactual_drift,rho5_lag3,302,3015,1.5428973006567732,383352832,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3016,counterfactual_drift,rho5_lag3,302,3016,1.5103849306670261,370638848,17152,N/A
esb-counterfactual_drift-rho5_lag3-d302-m3017,counterfactual_drift,rho5_lag3,302,3017,1.5930490107027635,388956160,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3010,counterfactual_drift,rho5_lag3,303,3010,1.5667304367831809,381026304,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3011,counterfactual_drift,rho5_lag3,303,3011,1.5384755462193529,387203072,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3012,counterfactual_drift,rho5_lag3,303,3012,1.5814708067528971,372277248,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3013,counterfactual_drift,rho5_lag3,303,3013,1.5614500925225334,380190720,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3014,counterfactual_drift,rho5_lag3,303,3014,1.548431442989525,376258560,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3015,counterfactual_drift,rho5_lag3,303,3015,1.5854418944098296,386842624,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3016,counterfactual_drift,rho5_lag3,303,3016,1.6843126360194394,398508032,17152,N/A
esb-counterfactual_drift-rho5_lag3-d303-m3017,counterfactual_drift,rho5_lag3,303,3017,1.6300182156971268,371507200,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3010,counterfactual_drift,rho5_lag3,304,3010,1.5717375875415323,374095872,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3011,counterfactual_drift,rho5_lag3,304,3011,1.5909613755678511,374751232,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3012,counterfactual_drift,rho5_lag3,304,3012,1.59117164475332,390643712,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3013,counterfactual_drift,rho5_lag3,304,3013,1.5649349869381284,379109376,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3014,counterfactual_drift,rho5_lag3,304,3014,1.5859835237155822,374603776,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3015,counterfactual_drift,rho5_lag3,304,3015,1.5868967981314999,374472704,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3016,counterfactual_drift,rho5_lag3,304,3016,1.5502323001274105,384368640,17152,N/A
esb-counterfactual_drift-rho5_lag3-d304-m3017,counterfactual_drift,rho5_lag3,304,3017,1.5510682260775344,383565824,17152,N/A
esb-bloop-rho5_lag3-d301-m3010,bloop,rho5_lag3,301,3010,1.5570348896519566,381304832,17152,N/A
esb-bloop-rho5_lag3-d301-m3011,bloop,rho5_lag3,301,3011,1.5854849012014911,372752384,17152,N/A
esb-bloop-rho5_lag3-d301-m3012,bloop,rho5_lag3,301,3012,1.570613666463287,383287296,17152,N/A
esb-bloop-rho5_lag3-d301-m3013,bloop,rho5_lag3,301,3013,1.7143357403666459,397131776,17152,N/A
esb-bloop-rho5_lag3-d301-m3014,bloop,rho5_lag3,301,3014,1.6543258461748012,389185536,17152,N/A
esb-bloop-rho5_lag3-d301-m3015,bloop,rho5_lag3,301,3015,1.5885087569310268,389120000,17152,N/A
esb-bloop-rho5_lag3-d301-m3016,bloop,rho5_lag3,301,3016,1.5963708875348082,376471552,17152,N/A
esb-bloop-rho5_lag3-d301-m3017,bloop,rho5_lag3,301,3017,1.6078410607205826,378257408,17152,N/A
esb-bloop-rho5_lag3-d302-m3010,bloop,rho5_lag3,302,3010,1.5528210874691635,384548864,17152,N/A
esb-bloop-rho5_lag3-d302-m3011,bloop,rho5_lag3,302,3011,1.5696979206717578,372539392,17152,N/A
esb-bloop-rho5_lag3-d302-m3012,bloop,rho5_lag3,302,3012,1.6684879142040479,384172032,17152,N/A
esb-bloop-rho5_lag3-d302-m3013,bloop,rho5_lag3,302,3013,2.0464007799086157,391004160,17152,N/A
esb-bloop-rho5_lag3-d302-m3014,bloop,rho5_lag3,302,3014,1.8823706321376761,392822784,17152,N/A
esb-bloop-rho5_lag3-d302-m3015,bloop,rho5_lag3,302,3015,2.0008776072598997,400441344,17152,N/A
esb-bloop-rho5_lag3-d302-m3016,bloop,rho5_lag3,302,3016,1.7558400633166826,393871360,17152,N/A
esb-bloop-rho5_lag3-d302-m3017,bloop,rho5_lag3,302,3017,1.7750355972284566,398589952,17152,N/A
esb-bloop-rho5_lag3-d303-m3010,bloop,rho5_lag3,303,3010,1.5796377105763519,400244736,17152,N/A
esb-bloop-rho5_lag3-d303-m3011,bloop,rho5_lag3,303,3011,1.6128198749035614,382550016,17152,N/A
esb-bloop-rho5_lag3-d303-m3012,bloop,rho5_lag3,303,3012,1.609518177147143,384630784,17152,N/A
esb-bloop-rho5_lag3-d303-m3013,bloop,rho5_lag3,303,3013,1.6003480089330002,401686528,17152,N/A
esb-bloop-rho5_lag3-d303-m3014,bloop,rho5_lag3,303,3014,1.5677390346953235,403488768,17152,N/A
esb-bloop-rho5_lag3-d303-m3015,bloop,rho5_lag3,303,3015,1.5903703751866618,379961344,17152,N/A
esb-bloop-rho5_lag3-d303-m3016,bloop,rho5_lag3,303,3016,1.557667500287047,385466368,17152,N/A
esb-bloop-rho5_lag3-d303-m3017,bloop,rho5_lag3,303,3017,1.5247264129313294,383926272,17152,N/A
esb-bloop-rho5_lag3-d304-m3010,bloop,rho5_lag3,304,3010,1.5267454434424974,380370944,17152,N/A
esb-bloop-rho5_lag3-d304-m3011,bloop,rho5_lag3,304,3011,1.6231982535752827,403210240,17152,N/A
esb-bloop-rho5_lag3-d304-m3012,bloop,rho5_lag3,304,3012,1.7070350847120852,385826816,17152,N/A
esb-bloop-rho5_lag3-d304-m3013,bloop,rho5_lag3,304,3013,1.690324276495097,388546560,17152,N/A
esb-bloop-rho5_lag3-d304-m3014,bloop,rho5_lag3,304,3014,1.681287495453093,383647744,17152,N/A
esb-bloop-rho5_lag3-d304-m3015,bloop,rho5_lag3,304,3015,1.6893026610545745,405061632,17152,N/A
esb-bloop-rho5_lag3-d304-m3016,bloop,rho5_lag3,304,3016,1.7114462013735621,392101888,17152,N/A
esb-bloop-rho5_lag3-d304-m3017,bloop,rho5_lag3,304,3017,1.6488337056617193,384696320,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3010,pcgrad,rho5_lag3,301,3010,1.6473462715841392,390496256,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3011,pcgrad,rho5_lag3,301,3011,1.6836216138535378,393854976,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3012,pcgrad,rho5_lag3,301,3012,1.6572336845475357,389840896,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3013,pcgrad,rho5_lag3,301,3013,1.6675285595135634,384843776,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3014,pcgrad,rho5_lag3,301,3014,1.6779660483856378,400883712,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3015,pcgrad,rho5_lag3,301,3015,1.6950956892099085,390004736,17152,N/A
esb-pcgrad-rho5_lag3-d301-m3016,pcgrad,rho5_lag3,301,3016,1.6712642214720759,384860160,17152,N/A
