record_id,model_kind,cell_id,method_id,publication_label,data_seed,model_seed,weak_auc_gap,weak_rescue_score,beta_first_hit_delay,beta_first_hit_delay_status,final_both_weak_response,strong_response_auc,final_strong_response,absolute_strong_response_auc_difference_from_erm,absolute_final_strong_response_difference_from_erm,diagnostic_status,target_attainment_fraction,feasibility_fraction,cap_binding_fraction,max_absolute_strong_drift_change,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-erm-rho4_lag2-d303-m3013,tanh,rho4_lag2,erm,ERM,303,3013,25.486300495825709,-25.486300495825709,,right_censored,0.13059306144714355,12.040808016341179,1.5945498943328857,0,0,N/A,N/A,N/A,N/A,N/A,1,393232384,17152,N/A
esb-erm-rho4_lag2-d303-m3014,tanh,rho4_lag2,erm,ERM,303,3014,24.957680078857813,-24.957680078857813,,right_censored,0.11766332387924194,12.022651284746825,1.5931185483932495,0,0,N/A,N/A,N/A,N/A,N/A,1,405520384,17152,N/A
esb-erm-rho4_lag2-d303-m3015,tanh,rho4_lag2,erm,ERM,303,3015,26.436404030420814,-26.436404030420814,,right_censored,0.11327431350946426,12.232678968086837,1.6130161285400391,0,0,N/A,N/A,N/A,N/A,N/A,1,398819328,17152,N/A
esb-erm-rho4_lag2-d303-m3016,tanh,rho4_lag2,erm,ERM,303,3016,22.29759877240285,-22.29759877240285,,right_censored,0.083523102104663849,12.130583600094543,1.608952522277832,0,0,N/A,N/A,N/A,N/A,N/A,1,376176640,17152,N/A
esb-erm-rho4_lag2-d303-m3017,tanh,rho4_lag2,erm,ERM,303,3017,24.061839066538958,-24.061839066538958,,right_censored,0.13409361243247986,12.050109978299588,1.6056656837463379,0,0,N/A,N/A,N/A,N/A,N/A,1,405913600,17152,N/A
esb-erm-rho4_lag2-d304-m3010,tanh,rho4_lag2,erm,ERM,304,3010,24.047456501005215,-24.047456501005215,,right_censored,0.093419626355171204,12.211183096817694,1.6184754371643066,0,0,N/A,N/A,N/A,N/A,N/A,1,402276352,17152,N/A
esb-erm-rho4_lag2-d304-m3011,tanh,rho4_lag2,erm,ERM,304,3011,25.20490378239192,-25.20490378239192,,right_censored,0.13650485873222351,11.935765753267333,1.5922383069992065,0,0,N/A,N/A,N/A,N/A,N/A,1,383909888,17152,N/A
esb-erm-rho4_lag2-d304-m3012,tanh,rho4_lag2,erm,ERM,304,3012,24.982557744299996,-24.982557744299996,,right_censored,0.12145374715328217,12.203041728772224,1.6101442575454712,0,0,N/A,N/A,N/A,N/A,N/A,1,407633920,17152,N/A
esb-erm-rho4_lag2-d304-m3013,tanh,rho4_lag2,erm,ERM,304,3013,25.503189099719748,-25.503189099719748,,right_censored,0.13006988167762756,12.061260133702309,1.5977048873901367,0,0,N/A,N/A,N/A,N/A,N/A,1,399835136,17152,N/A
esb-erm-rho4_lag2-d304-m3014,tanh,rho4_lag2,erm,ERM,304,3014,24.968476501520488,-24.968476501520488,,right_censored,0.11706960201263428,12.04325010208413,1.5963325500488281,0,0,N/A,N/A,N/A,N/A,N/A,1,382255104,17152,N/A
esb-erm-rho4_lag2-d304-m3015,tanh,rho4_lag2,erm,ERM,304,3015,26.46191850707401,-26.46191850707401,,right_censored,0.11267480999231339,12.252963144704701,1.616144061088562,0,0,N/A,N/A,N/A,N/A,N/A,1,410632192,17152,N/A
esb-erm-rho4_lag2-d304-m3016,tanh,rho4_lag2,erm,ERM,304,3016,22.266302872332744,-22.266302872332744,,right_censored,0.083037801086902618,12.150292495405303,1.6120398044586182,0,0,N/A,N/A,N/A,N/A,N/A,1,408780800,17152,N/A
esb-erm-rho4_lag2-d304-m3017,tanh,rho4_lag2,erm,ERM,304,3017,24.061112738423979,-24.061112738423979,,right_censored,0.13354586064815521,12.070051687886007,1.6087958812713623,0,0,N/A,N/A,N/A,N/A,N/A,1,409387008,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3010,tanh,rho4_lag2,counterfactual_drift,CDC,301,3010,0.0014822978526353836,-0.0014822978526353836,-4.8823711357393051e-05,finite,4.8545498847961426,10.455014266050421,1.2086427211761475,1.6496173590421659,0.39255130290985107,available,1,1,0,5.9604644775390625e-08,1.5025687887658066,373866496,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3011,tanh,rho4_lag2,counterfactual_drift,CDC,301,3011,-0.00020617409609258169,-0.00020617409609258169,-0.00011121432286476107,finite,4.8574929237365723,9.9171491190325476,1.1455575227737427,1.9159225227311243,0.42976760864257812,available,1,1,0,1.1920928955078125e-07,1.4878546126312782,407060480,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3012,tanh,rho4_lag2,counterfactual_drift,CDC,301,3012,0.00083401030860841263,-0.00083401030860841263,-6.6339310930363382e-05,finite,4.884645938873291,10.315251102484762,1.1838431358337402,1.7812345251441002,0.4091796875,available,1,1,0,1.1920928955078125e-07,1.6027069646454701,388628480,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3013,tanh,rho4_lag2,counterfactual_drift,CDC,301,3013,0.0013601922895759343,-0.0013601922895759343,8.3482941182211334e-07,finite,4.9729881286621094,10.157823506649583,1.1670963764190674,1.7978478252887733,0.41347682476043701,available,1,1,0,1.1920928955078125e-07,1.5884583837724728,384794624,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3014,tanh,rho4_lag2,counterfactual_drift,CDC,301,3014,-0.0034205075877252965,-0.0034205075877252965,-0.00073412354106716649,finite,4.9263796806335449,10.143800893891601,1.1654300689697266,1.7936855975538499,0.41367113590240479,available,1,1,0,5.9604644775390625e-08,1.8596618532062525,377176064,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3015,tanh,rho4_lag2,counterfactual_drift,CDC,301,3015,0.0020067892270162701,-0.0020067892270162701,-3.2813338801673808e-07,finite,5.033266544342041,10.241804062947631,1.1697903871536255,1.9050063244998459,0.42930638790130615,available,1,1,0,1.1920928955078125e-07,2.1766446943400455,347422720,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3016,tanh,rho4_lag2,counterfactual_drift,CDC,301,3016,-0.00045747375115752221,-0.00045747375115752221,-3.5481936814463211e-05,finite,4.6986775398254395,10.574400057410822,1.2290413379669189,1.4690692801028487,0.3655925989151001,available,1,1,0,1.1920928955078125e-07,2.1637471475268701,384008192,17152,N/A
esb-counterfactual_drift-rho4_lag2-d301-m3017,tanh,rho4_lag2,counterfactual_drift,CDC,301,3017,-0.0084476298652589321,-0.0084476298652589321,-0.0014673923830108571,finite,4.8341913223266602,10.274134588427842,1.1912403106689453,1.6933476500213125,0.40068328380584717,available,1,1,0,5.9604644775390625e-08,1.8489678713582103,365035520,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3010,tanh,rho4_lag2,counterfactual_drift,CDC,302,3010,0.0014890550635755062,-0.0014890550635755062,-4.7146637112138734e-05,finite,4.8613300323486328,10.544013087055646,1.2202616930007935,1.6740886172279694,0.39924585819244385,available,1,1,0,1.1920928955078125e-07,1.2678127534976262,393822208,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3011,tanh,rho4_lag2,counterfactual_drift,CDC,302,3011,-0.00020843935199081902,-0.00020843935199081902,-0.00011368111573295536,finite,4.8642635345458984,9.9982723244931542,1.1561975479125977,1.9447938058525338,0.43714356422424316,available,1,1,0,1.1920928955078125e-07,1.2971954916113368,387989504,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3012,tanh,rho4_lag2,counterfactual_drift,CDC,302,3012,0.00082415065262466682,-0.00082415065262466682,-6.9537973686806254e-05,finite,4.8915767669677734,10.402290108241139,1.1950337886810303,1.8079336613416679,0.41617250442504883,available,1,1,0,1.1920928955078125e-07,1.4442059632039881,385974272,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3013,tanh,rho4_lag2,counterfactual_drift,CDC,302,3013,0.0013597857672721148,-0.0013597857672721148,-1.2137331317774169e-07,finite,4.9801054000854492,10.243329252209513,1.1781386137008667,1.8251258566975608,0.42063701152801514,available,1,1,0,1.1920928955078125e-07,1.6317666960357922,398606336,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3014,tanh,rho4_lag2,counterfactual_drift,CDC,302,3014,-0.0034613484574947504,-0.0034613484574947504,-0.00075006343215866522,finite,4.9334268569946289,10.230648082587869,1.1767637729644775,1.8198115147650213,0.42065560817718506,available,1,1,0,1.1920928955078125e-07,1.4771535497655028,397737984,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3015,tanh,rho4_lag2,counterfactual_drift,CDC,302,3015,0.0020067281555384399,-0.0020067281555384399,-1.4222312185729891e-06,finite,5.0406045913696289,10.326699388958513,1.1806224584579468,1.933358210511507,0.43657600879669189,available,1,1,0,1.1920928955078125e-07,1.4400661741229852,387088384,17152,N/A
esb-counterfactual_drift-rho4_lag2-d302-m3016,tanh,rho4_lag2,counterfactual_drift,CDC,302,3016,-0.00046146544627845282,-0.00046146544627845282,-3.7005842226989216e-05,finite,4.7042856216430664,10.667689665360378,1.2414340972900391,1.4894363516941649,0.37163317203521729,available,1,1,0,5.9604644775390625e-08,1.6911442562417622,390250496,17152,N/A
