model_kind,rho,lag_separation,regime,n_seeds,n_tail_single_crossover,n_tail_response_equality,n_tail_strict_starvation,n_tail_causal_starvation_certified,max_abs_projection_residual,n_drift_crossed,n_drift_never_crossed,n_drift_undecidable,tau_star_drift_mean,tau_star_drift_ci95_low,tau_star_drift_ci95_high,n_response_crossed,n_response_never_crossed,n_response_undecidable,tau_star_response_mean,tau_star_response_ci95_low,tau_star_response_ci95_high,max_abs_tau_star_identity_gap,max_reconstruction_error,phases
gru,4.0,2,positive,8,5,5,5,0,0.0029862457886338234,5,3,0,3.8462899128586736,3.3126674179343105,4.379912407783037,5,3,0,7.200062241270379,6.109553491141654,8.290570991399104,1.0328048940522194e-06,5.587935447692871e-09,suppression_throughout|transfer_then_outcome_crossing_unlearnable
tanh,4.0,2,positive,8,3,3,3,3,0.02196936309337616,3,5,0,0.19421433943208508,-0.12845478340844754,0.5168834622726177,3,5,0,0.3889571628459496,-0.2437293707508521,1.0216436964427513,7.469246057073553e-08,9.5367431640625e-07,suppression_throughout|transfer_then_starvation
